"Model","Delimitation","No. spp.","Marginal likelihood","2lnBf","Model rank"
"m1","NEG,MIU,KIN","3 spp.",-4147.6880537144,0,1
"m3","NEG+MIU,KIN","2 spp.",-4154.0681104456,12.7601134624,2
"m2","NEG+KIN,MIU","2 spp.",-4167.0680687074,38.7600299859,3
"m0","NEG+MIU+KIN","1 sp.",-4179.9027053393,64.4293032497,4
