otherCatalogNumbers,associatedSequences,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,identificationQualifier,taxonRank,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy
B1500,KP960078 | KP959936,199525,ANSP,NA,PreservedSpecimen,Other material,Ancistrus ranunculus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,ranunculus,"Muller, Rapp Py-Daniel & Zuanon, 1994",NA,species,M. H. Sabaj,-3.331944,-52.17683,Brazil,Pará,Xingu,2012-10-06,"Rio Xingu, small rocky outcrop in main channel, ca. 15 km south of Altamira",M. H. Sabaj et al.
B1988,KP960084 | KP959935,199611,ANSP,NA,PreservedSpecimen,Other material,Ancistrus sp. 'Xingu',Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA,NA,sp. 'Xingu',genus,M. H. Sabaj,-3.651111,-52.37861,Brazil,Pará,Xingu,2012-10-09,"Rio Xingu, Cachoeira do Espelho, ca. 50 km south-southwest Altamira",M. H. Sabaj et al.
P4647,KP960101 | KP960037,43726,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus nicoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,nicoi,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,2.15095,-66.45229,Venezuela,Amazonas,Casiquiare,2005-03-19,"Casiquiare Canal, left bank upstream from mouth of Siapa",N. K. Lujan et al.
P6125,KP960091 | KP960030,45548,AUM,Fish,PreservedSpecimen,Other material,Lasiancistrus schomburgkii,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,schomburgkii,"(Günther, 1864)",NA,species,N. K. Lujan,-4.58957,-77.85283,Peru,Amazonas,Marañón,2006-08-03,"Río Marañón, 1.57 km ENE of Juan Velasco (Sta Maria de Nieva)",N. K. Lujan et al.
T09282,KP960099 | KP960041,53520,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus anthrax,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,4.38418,-67.77473,Venezuela,Amazonas,Orinoco,2010-03-26,"Río Orinoco, Paso Ganado, 38 km NNW of San Fernando de Atabapo",N. K. Lujan et al.
T09376,KP960095 | KP960035,57674,AUM,Fish,PreservedSpecimen,Other material,Pseudolithoxus tigris,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,species,N. K. Lujan,3.88218,-67.01362,Venezuela,Amazonas,Orinoco,2010-03-30,"Río Orinoco, rock outcropping upstream of Isla Moya, 79 km E of San Fernando de Atabapo",N. K. Lujan et al.
T09397,KP960083 | KP959934,54994,AUM,Fish,PreservedSpecimen,Other material,Ancistrus macrophthalmus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,macrophthalmus,"(Pellegrin, 1912)",NA,species,N. K. Lujan,3.88218,-67.01362,Venezuela,Amazonas,Orinoco,2010-03-30,"Río Orinoco, rock outcropping upstream of Isla Moya, 79 km E of San Fernando de Atabapo",N. K. Lujan et al.
T09512,KP960097 | KP960042,190757,ANSP,NA,PreservedSpecimen,Other material,Pseudolithoxus dumus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,dumus,"(Armbruster & Provenzano, 2000)",NA,species,M. H. Sabaj,4.06825,-66.90369,Venezuela,Amazonas,Ventuari (Orinoco),2010-04-01,"Río Ventuari, Raudales Chipirito, 88.5 km E of San Fernando de Atabapo",M. H. Sabaj et al.
T09686,KP960092 | KP960028,53895,AUM,Fish,PreservedSpecimen,Other material,Lasiancistrus tentaculatus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,tentaculatus,Armbruster 2005,NA,species,N. K. Lujan,5.34648,-66.03328,Venezuela,Amazonas,Ventuari (Orinoco),2010-04-11,"Río Parucito, Raudales Solomon",V. Meza et al.
T09895,KP960096 | KP960036,51644,AUM,Fish,PreservedSpecimen,Paratype,Pseudolithoxus kelsorum,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kelsorum,"Lujan & Birindelli, 2011",NA,species,N. K. Lujan,4.9178,-67.83294,Venezuela,Amazonas,Orinoco,2010-04-18,"Río Orinoco at Merey, 97.6 km N of San Fernando de Atabapo",J. Birindelli et al.
