otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,identificationQualifier,identifiedBy,recordedBy,eventDate,associatedSequences,waterBody,locality,continent,country,stateProvince,decimalLatitude,decimalLongitude,delimitation,remarks
T09934,53557,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,N. K. Lujan,N. K. Lujan et al.,2010-04-24,KP960098 | KP960040,Caura,"Río Caura, Las Trincheras",South America,Venezuela,Amazonas,7.07277,-64.99646,anthrax,genbank
T10092,51165,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,megalostomus,"Pearson, 1924",NA,N. K. Lujan,N. K. Lujan et al.,2010-07-23,KP960080 | KP959930,Madre de Dios,"Río Araza, orilla derecha, justo encima del puente pasando Quincemil",South America,Peru,Cusco,-13.26338,-70.78007,NA,genbank
T10093,51165,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,megalostomus,"Pearson, 1924",NA,N. K. Lujan,N. K. Lujan et al.,2010-07-23,TBC,Madre de Dios,"Río Araza, orilla derecha, justo encima del puente pasando Quincemil",South America,Peru,Cusco,-13.26338,-70.78007,NA,nathan extra
T10383,57510,AUM,Fish,PreservedSpecimen,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA,NA,sp. 'Inambari',N. K. Lujan,N. K. Lujan et al.,2010-08-05,KP960082 | KP959932,Madre de Dios,Río Inambari,South America,Peru,Madre de Dios,-12.78514,-70.00994,NA,genbank
T12872,90368,ROM,Fishes,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,bolivianus,"(Steindachner, 1915)",NA,N. K. Lujan,N. K. Lujan et al.,2011-07-23,KP960081 | KP959931,Mamoré,"San Pedrito River, bridge on Cochabamba-Villa Tunari road",South America,Bolivia,Cochabamba,-17.01623,-65.65195,NA,genbank
T13829,93737,ROM,Fishes,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,clementinae,"Rendahl, 1937",NA,N. K. Lujan,N. K. Lujan et al.,2012-08-26,KP960085 | KP959929,"Clara, Pacific Coast, Ecuador","Clara River, La Clara, around bridge and downstream",South America,Ecuador,Los Rios,-1.680472,-79.38992,NA,genbank
V055,39246,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,N. K. Lujan,N. K. Lujan et al.,2004-04-05,KP960100 | KP960039,"Orinoco, Ventuari","Río Ventuari, 23 km NE of Macuruco, 94 km E of San Fernando de Atabapo",South America,Venezuela,Amazonas,4.08042,-66.86513,anthrax,genbank
B1470,199692,ANSP,NA,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,schomburgkii,"(Günther, 1864)",NA,M. H. Sabaj,M. H. Sabaj et al.,2012-10-05,TBC,Xingu,"Rio Jarauacu, prox. a Medicilandia",South America,Brazil,Pará,-3.455833,-52.926111,NA,nathan extra
B1471,199692,ANSP,NA,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,schomburgkii,"(Günther, 1864)",NA,M. H. Sabaj,M. H. Sabaj et al.,2012-10-05,TBC,Xingu,"Rio Jarauacu, prox. a Medicilandia",South America,Brazil,Pará,-3.455833,-52.926111,NA,nathan extra
B1499,199525,ANSP,NA,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,ranunculus,"Muller, Rapp Py-Daniel & Zuanon, 1994",NA,M. H. Sabaj,M. H. Sabaj et al.,2012-10-06,TBC,Xingu,"Rio Xingu, small rocky outcrop in main channel, ca. 15 km south of Altamira",South America,Brazil,Pará,-3.331944,-52.17683,NA,nathan extra
B2049,193063,ANSP,NA,PreservedSpecimen,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA,NA,sp. 'Xingu',M. H. Sabaj,M. H. Sabaj et al.,2012-10-13,TBC,Xingu,Praia do Caju and rock outcrops upstream of Cachoeira do Jericoa,South America,Brazil,Pará,-3.382139,-51.7365,NA,nathan extra
P6123,45548,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,schomburgkii,"(Günther, 1864)",NA,N. K. Lujan,N. K. Lujan et al.,2006-08-03,TBC,Marañón,"Río Marañón, 1.57 km ENE of Juan Velasco (Sta Maria de Nieva)",South America,Peru,Amazonas,-4.58957,-77.85283,NA,nathan extra
T07157,,,,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,tigris,"(Armbruster & Provenzano, 2000)",NA,,,,TBC,,,,,,,,tigris,nathan extra
T09399,54992,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,anthrax,"(Armbruster & Provenzano, 2000)",NA,N. K. Lujan,N. K. Lujan et al.,2010-03-30,TBC,Orinoco,"Río Orinoco, rock outcropping upstream of Isla Moya, 79 km E of San Fernando de Atabapo",South America,Venezuela,Amazonas,3.88218,-67.01362,anthrax,nathan extra
T09471,,,,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,macrophthalmus,"(Pellegrin, 1912)",NA,,,,TBC,,,,,,,,NA,nathan extra
T09536,54311,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,dumus,"(Armbruster & Provenzano, 2000)",NA,N. K. Lujan,N. K. Lujan et al.,2010-04-02,TBC,"Orinoco, Ventuari","Caño Marujeta, 159 km E of San Fernando de Atabapo",South America,Venezuela,Amazonas,4.29481,-66.28888,dumus,nathan extra
T09687,53895,AUM,Fish,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Lasiancistrus,tentaculatus,Armbruster 2005,NA,N. K. Lujan,V. Meza et al.,2010-04-11,TBC,"Orinoco, Ventuari","Río Parucito, Raudales Solomon",South America,Venezuela,Amazonas,5.34648,-66.03328,NA,nathan extra
T09898,51644,AUM,Fish,PreservedSpecimen,Paratype,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Pseudolithoxus,kelsorum,"Lujan & Birindelli, 2011",NA,N. K. Lujan,J. Birindelli et al.,2010-04-18,TBC,Orinoco,"Río Orinoco at Merey, 97.6 km N of San Fernando de Atabapo",South America,Venezuela,Amazonas,4.9178,-67.83294,kelsorum,nathan extra
T10364,57477,AUM,Fish,PreservedSpecimen,Other material,genus,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,NA,NA,sp. 'Inambari',N. K. Lujan,N. K. Lujan et al.,2010-08-03,TBC,Madre de Dios,"Río Inambari, Peru",South America,Peru,Madre de Dios,-12.7689,-70.00002,NA,nathan extra
T12871,90368,ROM,Fishes,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,bolivianus,"(Steindachner, 1915)",NA,N. K. Lujan,N. K. Lujan et al.,2011-07-23,TBC,Mamoré,"San Pedrito River, bridge on Cochabamba-Villa Tunari road, Bolivia",South America,Bolivia,Cochabamba,-17.01623,-65.65195,NA,nathan extra
T13826,93737,ROM,Fishes,PreservedSpecimen,Other material,species,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,clementinae,"Rendahl, 1937",NA,N. K. Lujan,N. K. Lujan et al.,2012-08-26,TBC,"Clara, Pacific Coast, Ecuador","Clara River, La Clara, around bridge and downstream",South America,Ecuador,Los Rios,-1.680472,-79.38992,NA,nathan extra
