traits	species
T09282	anthrax
T09399	anthrax
T09841	anthrax
T09842	anthrax
T09934	anthrax
V055	anthrax
T09512	dumus
T09536	dumus
T09949	dumus
T09951	dumus
14422	nicoi.gr1+n.sp.
14482	nicoi.gr1+n.sp.
14483	nicoi.gr1+n.sp.
14484	nicoi.gr1+n.sp.
14485	nicoi.gr1+n.sp.
P161	nicoi.gr1+n.sp.
P162	nicoi.gr1+n.sp.
P18038	nicoi.gr1+n.sp.
P18043	nicoi.gr1+n.sp.
P18073	nicoi.gr1+n.sp.
P4647	nicoi.gr1+n.sp.
T027	nicoi.gr1+n.sp.
T078	nicoi.gr1+n.sp.
T148	nicoi.gr2
T149	nicoi.gr2
T151	nicoi.gr2
T152	nicoi.gr2
T153	nicoi.gr2
T09282a	anthrax
T09399a	anthrax
T09841a	anthrax
T09842a	anthrax
T09934a	anthrax
V055a	anthrax
T09512a	dumus
T09536a	dumus
T09949a	dumus
T09951a	dumus
14422a	nicoi.gr1+n.sp.
14482a	nicoi.gr1+n.sp.
14483a	nicoi.gr1+n.sp.
14484a	nicoi.gr1+n.sp.
14485a	nicoi.gr1+n.sp.
P161a	nicoi.gr1+n.sp.
P162a	nicoi.gr1+n.sp.
P18038a	nicoi.gr1+n.sp.
P18043a	nicoi.gr1+n.sp.
P18073a	nicoi.gr1+n.sp.
P4647a	nicoi.gr1+n.sp.
T027a	nicoi.gr1+n.sp.
T078a	nicoi.gr1+n.sp.
T148a	nicoi.gr2
T149a	nicoi.gr2
T151a	nicoi.gr2
T152a	nicoi.gr2
T153a	nicoi.gr2
T09282b	anthrax
T09399b	anthrax
T09841b	anthrax
T09842b	anthrax
T09934b	anthrax
V055b	anthrax
T09512b	dumus
T09536b	dumus
T09949b	dumus
T09951b	dumus
14422b	nicoi.gr1+n.sp.
14482b	nicoi.gr1+n.sp.
14483b	nicoi.gr1+n.sp.
14484b	nicoi.gr1+n.sp.
14485b	nicoi.gr1+n.sp.
P161b	nicoi.gr1+n.sp.
P162b	nicoi.gr1+n.sp.
P18038b	nicoi.gr1+n.sp.
P18043b	nicoi.gr1+n.sp.
P18073b	nicoi.gr1+n.sp.
P4647b	nicoi.gr1+n.sp.
T027b	nicoi.gr1+n.sp.
T078b	nicoi.gr1+n.sp.
T148b	nicoi.gr2
T149b	nicoi.gr2
T151b	nicoi.gr2
T152b	nicoi.gr2
T153b	nicoi.gr2
