typeStatus;scientificName;originalNameUsage;originalNameUsageID;namePublishedIn;namePublishedInID;nameAccordingTo;nameAccordingToID;taxonConceptID;acceptedNameUsage;acceptedNameUsageID;taxonomicStatus;nomenclaturalStatus;taxonRemarks;taxonID;scientificNameID;parentNameUsageID;parentNameUsage;higherClassification;kingdom;phylum;class;order;family;taxonRank;verbatimTaxonRank;vernacularName;nomenclaturalCode;genus;subgenus;specificEpithet;infraspecificEpithet;scientificNameAuthorship;locationID;higherGeographyID;higherGeography;continent;waterBody;islandGroup;island;country;countryCode;stateProvince;county;municipality;locality;verbatimLocality;verbatimElevation;minimumElevationInMeters;maximumElevationInMeters;verbatimDepth;minimumDepthInMeters;maximumDepthInMeters;minimumDistanceAboveSurfaceInMeters;maximumDistanceAboveSurfaceInMeters;locationAccordingTo;locationRemarks;verbatimCoordinates;verbatimLatitude;verbatimLongitude;verbatimCoordinateSystem;verbatimSRS;decimalLatitude;decimalLongitude;geodeticDatum;coordinateUncertaintyInMeters;coordinatePrecision;pointRadiusSpatialFit;footprintWKT;footprintSRS;footprintSpatialFit;georeferencedBy;georeferenceProtocol;georeferenceSources;georeferenceVerificationStatus;georeferenceRemarks;eventID;samplingProtocol;samplingEffort;eventDate;eventTime;startDayOfYear;endDayOfYear;year;month;day;verbatimEventDate;habitat;fieldNumber;fieldNotes;eventRemarks;individualID;individualCount;sex;lifeStage;preparations;reproductiveCondition;behavior;establishmentMeans;catalogNumber;occurrenceDetails;occurrenceRemarks;recordNumber;recordedBy;occurrenceStatus;disposition;otherCatalogNumbers;previousIdentifications;associatedMedia;associatedReferences;associatedOccurrences;associatedSequences;geologicalContextID;earliestEonOrLowestEonothem;latestEonOrHighestEonothem;earliestEraOrLowestErathem;latestEraOrHighestErathem;earliestPeriodOrLowestSystem;latestPeriodOrHighestSystem;earliestEpochOrLowestSeries;latestEpochOrHighestSeries;earliestAgeOrLowestStage;latestAgeOrHighestStage;lowestBiostratigraphicZone;highestBiostratigraphicZone;lithostratigraphicTerms;group;formation;member;bed;identificationID;identifiedBy;dateIdentified;identificationReferences;identificationRemarks;identificationQualifier;type;modified;language;rights;rightsHolder;accessRights;bibliographicCitation;institutionID;collectionID;datasetID;institutionCode;collectionCode;datasetName;ownerInstitutionCode;basisOfRecord;informationWithheld;dataGeneralizations;dynamicProperties;source
Holotype;"Pseudolithoxus seclusus Collins &amp; Ribeiro, 2014";;;;;;;;;;;;;;;;;;Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;;;;;Pseudolithoxus;;seclusus;;"Collins &amp; Ribeiro, 2014";;;;;;;;Brazil;;Pará;;;"Lower Nhamundá River";;;;;;;;;;;;;;;;;-1.71782;-57.36856;WGS84;;;;;;;;;;;;;;;2013-11;;;;;;;;;;;;;1;;;;;;;tbc;;;;"Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INPA;;;;;;;PreservedSpecimen;;;;
Paratype;"Pseudolithoxus seclusus Collins &amp; Ribeiro, 2014";;;;;;;;;;;;;;;;;;Animalia;Chordata;Actinopterygii;Siluriformes;Loricariidae;;;;;Pseudolithoxus;;seclusus;;"Collins &amp; Ribeiro, 2014";;;;;;;;Brazil;;Pará;;;"Lower Nhamundá River";;;;;;;;;;;;;;;;;-1.71782;-57.36856;WGS84;;;;;;;;;;;;;;;2013-11;;;;;;;;;;;;;16;;;;;;;tbc;;;;"Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins";;;"UFAM:CTGA:14422; UFAM:CTGA:14482; UFAM:CTGA:14483; UFAM:CTGA:14484; UFAM:CTGA:14485; UFAM:CTGA:14486";;;;;tbc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INPA;;;;;;;PreservedSpecimen;;;;
